icon,record_type,id,name,mesh,plugin
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_personality_b,Bargain Fortify Personality,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_speed_b,Bargain Potion of Fortify Speed,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_strength_b,Bargain Fortify Strength,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_fortify_willpower_b,Bargain Fortify Willpower,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_frost_resistance_b,Bargain Frost Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_frost_shield_b,Bargain Potion of Frost Shield,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_invisibility_b,Bargain Potion of Invisibility,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_jump_b,Bargain Potion of Jump,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_levitation_b,Bargain Rising Force Potion,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_light_b,Bargain Potion of Light,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_lightning shield_b,Bargain Lightning Shield,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_magicka_resistance_b,Bargain Magicka Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_night-eye_b,Bargain Potion of Night-Eye,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_paralyze_b,Bargain Potion of Paralyze,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_poison_resistance_b,Bargain Poison Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_reflection_b,Bargain Potion of Reflection,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_agility_b,Bargain Restore Agility,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_endurance_b,Bargain Restore Endurance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_fatigue_b,Bargain Restore Fatigue,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_health_b,Bargain Restore Health,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_intelligence_b,Bargain Restore Intelligence,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_luck_b,Bargain Restore Luck,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_magicka_b,Bargain Restore Magicka,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_personality_b,Bargain Restore Personality,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_speed_b,Bargain Restore Speed,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_strength_b,Bargain Restore Strength,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_restore_willpower_b,Bargain Restore Willpower,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_shock_resistance_b,Bargain Shock Resistance,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_silence_b,Bargain Potion of Silence,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_spell_absorption_b,Bargain Spell Absorption,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_bargain_01.tga,Alchemy,p_swift_swim_b,Bargain Potion of Swift Swim,m\Misc_Potion_Bargain_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_burden_c,Cheap Potion of Burden,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_chameleon_c,Cheap Potion of Shadow,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_disease_resistance_c,Cheap Disease Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_feather_c,Cheap Potion of Feather,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fire_resistance_c,Cheap Fire Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fire_shield_c,Cheap Potion of Fire Shield,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_agility_c,Cheap Fortify Agility,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_endurance_c,Cheap Fortify Endurance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_fatigue_c,Cheap Fortify Fatigue,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_health_c,Cheap Potion of Fortify Health,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_intelligence_c,Cheap Fortify Intelligence,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_luck_c,Cheap Potion of Fortify Luck,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_magicka_c,Cheap Potion of Fortify Magicka,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_personality_c,Cheap Fortify Personality,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_speed_c,Cheap Potion of Fortify Speed,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_strength_c,Cheap Fortify Strength,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_fortify_willpower_c,Cheap Fortify Willpower,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_frost_resistance_c,Cheap Frost Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_frost_shield_c,Cheap Potion of Frost Shield,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_invisibility_c,Cheap Potion of Invisibility,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_jump_c,Cheap Potion of Jump,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_levitation_c,Cheap Rising Force Potion,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_light_c,Cheap Potion of Light,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_lightning shield_c,Cheap Lightning Shield,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_magicka_resistance_c,Cheap Magicka Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_night-eye_c,Cheap Potion of Night-Eye,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_paralyze_c,Cheap Potion of Paralyze,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_poison_resistance_c,Cheap Poison Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_reflection_c,Cheap Potion of Reflection,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_agility_c,Cheap Restore Agility,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_endurance_c,Cheap Restore Endurance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_fatigue_c,Cheap Restore Fatigue,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_health_c,Cheap Restore Health,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_intelligence_c,Cheap Restore Intelligence,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_luck_c,Cheap Restore Luck,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_magicka_c,Cheap Restore Magicka,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_personality_c,Cheap Restore Personality,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_speed_c,Cheap Restore Speed,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_strength_c,Cheap Restore Strength,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_restore_willpower_c,Cheap Restore Willpower,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_shock_resistance_c,Cheap Shock Resistance,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_silence_c,Cheap Potion of Silence,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_spell_absorption_c,Cheap Spell Absorption,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_cheap_01.tga,Alchemy,p_swift_swim_c,Cheap Potion of Swift Swim,m\Misc_Potion_Cheap_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_burden_e,Exclusive Potion of Burden,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_chameleon_e,Exclusive Potion of Shadow,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_disease_resistance_e,Exclusive Disease Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_feather_e,Exclusive Potion of Feather,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fire_resistance_e,Exclusive Fire Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fire_shield_e,Exclusive Potion of Fire Shield,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_agility_e,Exclusive Fortify Agility,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_attack_e,Exclusive Fortify Attack,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_endurance_e,Exclusive Fortify Endurance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_fatigue_e,Exclusive Fortify Fatigue,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_health_e,Exclusive Fortify Health,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_intelligence_e,Exclusive Fortify Intelligence,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_luck_e,Exclusive Fortify Luck,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_magicka_e,Exclusive Fortify Magicka,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_personality_e,Exclusive Fortify Personality,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_speed_e,Exclusive Fortify Speed,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_strength_e,Exclusive Fortify Strength,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_fortify_willpower_e,Exclusive Fortify Willpower,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_frost_resistance_e,Exclusive Frost Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_frost_shield_e,Exclusive Frost Shield,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_heroism_s,Potion of Heroism,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_invisibility_e,Exclusive Invisibility,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_jump_e,Exclusive Potion of Jump,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_levitation_e,Exclusive Rising Force Potion,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_light_e,Exclusive Potion of Light,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_lightning shield_e,Exclusive Lightning Shield,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_magicka_resistance_e,Exclusive Magicka Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_night-eye_e,Exclusive Potion of Night-Eye,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_paralyze_e,Exclusive Potion of Paralyze,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_poison_resistance_e,Exclusive Poison Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_quarrablood_UNIQUE,Blood of the Quarra Masters,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_reflection_e,Exclusive Potion of Reflection,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_agility_e,Exclusive Restore Agility,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_endurance_e,Exclusive Restore Endurance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_fatigue_e,Exclusive Restore Fatigue,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_health_e,Exclusive Restore Health,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_intelligence_e,Exclusive Restore Intelligence,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_luck_e,Exclusive Restore Luck,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_magicka_e,Exclusive Restore Magicka,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_personality_e,Exclusive Restore Personality,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_speed_e,Exclusive Restore Speed,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_strength_e,Exclusive Restore Strength,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_restore_willpower_e,Exclusive Restore Willpower,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_shock_resistance_e,Exclusive Shock Resistance,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_silence_e,Exclusive Potion of Silence,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_sinyaramen_UNIQUE,Sinyaramen's Potion,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_spell_absorption_e,Exclusive Spell Absorption,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_exclusive_01.tga,Alchemy,p_swift_swim_e,Exclusive Potion of Swift Swim,m\Misc_Potion_Exclusive_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_almsivi_intervention_s,Potion of Fool's Luck,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_cure_blight_s,Potion of Cure Blight Disease,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_cure_common_s,Potion of Cure Common Disease,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_cure_common_unique,Trebonius' Potion of Curing,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_cure_paralyzation_s,Potion of Cure Paralyzation,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_cure_poison_s,Potion of Cure Poison,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_detect_creatures_s,Potion of Detect Creatures,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_detect_enchantment_s,Potion of Detect Enchantments,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_detect_key_s,Potion of Detect Key,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_dispel_s,Potion of Dispel,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_mark_s,Potion of Marking,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_recall_s,Potion of Recall,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_slowfall_s,Potion of Slowfalling,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_telekinesis_s,Potion of Telekinesis,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_water_breathing_s,Potion of Water Breathing,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_fresh_01.tga,Alchemy,p_water_walking_s,Potion of Water Walking,m\Misc_Potion_Fresh_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,P_Levitation_Q,Quality Rising Force Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_burden_q,Quality Potion of Burden,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_chameleon_q,Quality Potion of Shadow,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_disease_resistance_q,Quality Disease Resistance,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain willpower_q,Spoiled Cure Disease Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_agility_q,Spoiled SlowFall Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_endurance_q,Spoiled SlowFall Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_intelligence_q,Spoiled Potion of Swift Swim,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_luck_q,Spoiled Cure Disease Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_magicka_q,Spoiled Cure Poison Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_personality_q,Spoiled Potion of Swift Swim,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_speed_q,Spoiled Cure Poison Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_drain_strength_q,Spoiled Cure Disease Potion,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_feather_q,Quality Potion of Feather,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fire_resistance_q,Quality Fire Resistance,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fire_shield_q,Quality Potion of Fire Shield,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_agility_q,Quality Fortify Agility,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_endurance_q,Quality Fortify Endurance,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_fatigue_q,Quality Fortify Fatigue,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_health_q,Quality Fortify Health,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_intelligence_q,Quality Fortify Intelligence,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_luck_q,Quality Potion of Fortify Luck,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_magicka_q,Quality Fortify Magicka,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_personality_q,Quality Fortify Personality,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_speed_q,Quality Potion of Fortify Speed,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_strength_q,Quality Fortify Strength,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_fortify_willpower_q,Quality Fortify Willpower,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_frost_resistance_q,Quality Frost Resistance,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_frost_shield_q,Quality Frost Shield,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_invisibility_q,Quality Potion of Invisibility,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_jump_q,Quality Potion of Jump,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_light_q,Quality Potion of Light,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_lightning shield_q,Quality Lightning Shield,m\Misc_Potion_Quality_01.nif,Morrowind
m\Tx_potion_quality_01.tga,Alchemy,p_magicka_resistance_q,Quality Magicka Resistance,m\Misc_Potion_Quality_01.nif,Morrowind
