id,name,tags,mod
TR_m1_key_slave_alendu,Alendu Plantation Slave Key,key,TR_Mainland
TR_m1_ITO_AL_KeyIcebreaker01,Allia Aberus' Key,key,TR_Mainland
TR_m3_AT_Key_Temple,Almas Thirr Temple Key,key,TR_Mainland
TR_m2_plans_i2-307,Altered Dwemer Centurion Plans,,TR_Mainland
T_De_Index_Althandas,Althandas Propylon Index,,Tamriel_Data
TR_m4_key_AlverSlave,Alver Farmhouse Slave Key,key,TR_Mainland
TR_m4_Bd_Alvur_key,Alvur Nirano's Key,key,TR_Mainland
key_alvur,Alvur's Key,key,Morrowind
TR_m2_key_ayemar_jail,Ammar Jail Key,key,TR_Mainland
T_Imp_Painting_Archein,An Archein Bureaucrat,,Tamriel_Data
key_Senim_tomb,An old tomb key,key,Morrowind
key_marvani_tomb,"An old, ashy key",key,Morrowind
TR_m4_Om_AncientBowl,Ancient Bowl,bowl,TR_Mainland
T_Imp_ColBarrowBowl_01,Ancient Bronze Bowl,bowl,Tamriel_Data
T_Imp_ColBarrowChalice_01,Ancient Bronze Chalice,,Tamriel_Data
T_Imp_ColBarrowGoblet_01,Ancient Bronze Goblet,cup,Tamriel_Data
T_Imp_ColBarrowPlatter_01,Ancient Bronze Platter,,Tamriel_Data
T_Imp_ColBarrowClayBowl_01,Ancient Clay Bowl,bowl,Tamriel_Data
T_Imp_ColBarrowClayCup_01,Ancient Clay Cup,cup,Tamriel_Data
T_Imp_ColBarrowClayFlask_01,Ancient Clay Flask,bottle,Tamriel_Data
T_Imp_ColBarrowClayPitcher_01,Ancient Clay Pitcher,cup,Tamriel_Data
T_Imp_ColBarrowClayPlate_01,Ancient Clay Plate,plate,Tamriel_Data
T_Imp_ColBarrowClayPlatter_01,Ancient Clay Platter,,Tamriel_Data
key_ashalmawia_prisoncell,Ancient daedric Key,key,Morrowind
key_ashurninibi,Ancient daedric Key,key,Morrowind
key_Forge of Rolamus,Ancient daedric Key,key,Morrowind
TR_m3_harrumatKey,Ancient Daedric Key,key,TR_Mainland
TR_m4_AA_Dae_2_Key,Ancient Daedric Key,key,TR_Mainland
TR_m7_Kalk_Vault_Key_01,Ancient Daedric Key,key,TR_Mainland
TR_m7_TV4_Mhas_Key,Ancient Daedric Key,key,TR_Mainland
key_fg_nchur,Ancient Dwemer Door Key,key,Morrowind
TR_m3-278_key-ancient,Ancient Dwemer Key,key,TR_Mainland
TR_i3-591_RaathimLichgateKey,Ancient Key,key,TR_Mainland
TR_m2_i274_key_daegrottochest,Ancient Key,key,TR_Mainland
T_Nor_CoinBarrowCopper_01,Ancient Nord Copper Coin,,Tamriel_Data
T_Nor_CoinBarrowIron_01,Ancient Nord Iron Coin,,Tamriel_Data
T_Nor_CoinBarrowSilver_01,Ancient Nord Silver Coin,,Tamriel_Data
TR_m3_OE_FG_LenwSkel,Ancient Skeleton,,TR_Mainland
TR_m3_OE_FG_q_ConstSkelet,Ancient Skeleton,,TR_Mainland
key_ashurninibi_lost,"Ancient, rusted Daedric Key",key,Morrowind
key_ibardad_tomb,"Ancient, rusted Daedric Key",key,Morrowind
TR_m4_key_AndasGuestSuite,Andas Estate Guest Suite Key,key,TR_Mainland
TR_m4_Andoth_AndasSewerKey,Andas Estate Sewer Key,key,TR_Mainland
TR_m4_key_AndasSlave,Andas Estate Slave Key,key,TR_Mainland
TR_m4_key_AndasVault,Andas Estate Vault Key,key,TR_Mainland
TR_m4_key_AndasManor,Andas Manor Key,key,TR_Mainland
index_andra,Andasreth Propylon Index,,Morrowind
TR_m3_AT_Key_Andrano,Andrano Apartment Key,key,TR_Mainland
T_De_Index_Andvaryon,Andvaryon Propylon Index,,Tamriel_Data
TR_m7_Narsis_KeyAnel,Anel Ralaal' Key,key,TR_Mainland
key_anja,Anja's Key,key,Morrowind
TR_m3_AT_Key_Anmoleth,Anmoleth's Key,key,TR_Mainland
TR_m7_HK_key_annalina,Annalina Conrel's Key,key,TR_Mainland
TR_m3_AT_Key_Dreloth,Ano Dreloth's Key,key,TR_Mainland
T_Nor_Antler_01,Antler,,Tamriel_Data
T_Nor_Antler_02,Antler,,Tamriel_Data
T_Nor_Antler_03,Antler,,Tamriel_Data
TR_m1_ITO_FW_KeyAntoni,Antoni Manor Key,key,TR_Mainland
TR_m7_HK_key_tiger_antonius,Antonius Rato's Key,key,TR_Mainland
misc_dwrv_artifact30,Anumidium Plans,,Morrowind
TR_m7_VtowerBsmtKey,Apartments' Basement Key,key,TR_Mainland
TR_m3_OE_MG_AquariumKey,Aquarium Key,key,TR_Mainland
TR_m2_q_27_slavekey,Aravel-Senim Slave Key,key,TR_Mainland
TR_m2_q_27_slavekeystatic,Aravel-Senim Slave Key,key,TR_Mainland
TR_m7_Narsis_KeyMGArch,Arch-Mage's Chamber Key,key,TR_Mainland
key_archcanon_private,Archcanon's Private Key,key,Morrowind
TR_m7_Narsis_KeyArdi,Ardi Oaken-Cave's Key,key,TR_Mainland
TR_m7_KeyArenFarm,Aren Farm Key,key,TR_Mainland
key_vivec_arena_cell,Arena Cell Key,key,Morrowind
TR_m7_Ns_ArenaEbonyScale,Arena Ebony Scale,,TR_Mainland
TR_m7_Ns_ArenaGoldScale,Arena Gold Scale,,TR_Mainland
TR_m7_Narsis_KeyArenaCells,Arena Holding Cells Key,key,TR_Mainland
TR_m7_Ns_ArenaIronScale,Arena Iron Scale,,TR_Mainland
TR_m7_Ns_ArenaSilvScale,Arena Silver Scale,,TR_Mainland
key_Arenim,Arenim burial key,key,Morrowind
T_Com_SkullArgonian_01,Argonian Skull,,Tamriel_Data
T_Com_SkullArgonian_02,Argonian Skull,,Tamriel_Data
TR_m3_q_IL_mortuary_key,Arkay's Tower Undercroft Key,key,TR_Mainland
key_armigers_stronghold,Armigers Stronghold dungeon key,key,Morrowind
key_arobarmanorguard_01,Arobar Manor Guard's Key,key,Morrowind
key_arobarmanor_01,Arobar Manor Key,key,Morrowind
TR_m7_Narsis_KeyArtalamel,Artalamel's Key,key,TR_Mainland
key_arvs-drelen_cell,Arvs-Drelen Cell Key,key,Morrowind
TR_m4_Bal_ArvsShadanKey,Arvs-Shadan Slave Key,key,TR_Mainland
key_chest_aryniorethi_01,Aryni Orethi's Key,key,Morrowind
TR_m7_HO_AsaniSerdimapalKey,Asani Serdimapal's Key,key,TR_Mainland
T_De_6th_Sleeper_Skull_01,Ascended Sleeper Skull,,Tamriel_Data
AB_Misc_BoneSkelSkullGhoul,Ash Ghoul Skull,,OAAB_Data
misc_6th_ash_statue_01,Ash Statue,,Morrowind
AB_Misc_6thAshStatue02,Ash Statue,,OAAB_Data
AB_Misc_6thAshStatue04,Ash Statue,,OAAB_Data
AB_Misc_6thAshStatue07,Ash Statue,,OAAB_Data
AB_Misc_6thAshStatue13,Ash Statue,,OAAB_Data
TR_m4_HH_GavrosStatue,Ash Statue,,TR_Mainland
TR_M7_SH1_Tomb_1_Andrus,Ashes of Andrus Hlaalu,,TR_Mainland
devote_Nan_Dust_00,Ashes of D. Bryant,,Morrowind
TR_m1_C_Eyeball88_Devote,Ashes of D. McRae,,TR_Mainland
TR_m1_Voun_AshesUNI01,Ashes of Dram,,TR_Mainland
TR_m2_necrom_enduur_uni,Ashes of En-Duur,,TR_Mainland
TR_m3_TT_RIP_fedura_ash,Ashes of Fedura Ovav,,TR_Mainland
devote_Lyngas_Dust_00,Ashes of G. Lyngas,,Morrowind
devote_Brinne_Dust_00,Ashes of Lord Brinne,,Morrowind
TR_NecMQ_NerevarAshes,Ashes of Lord Indoril Nerevar,,TR_Mainland
TR_m1_Voun_AshesUNI02,Ashes of Maelo Tranem,,TR_Mainland
TR_m4_q_Mervur_ashes,Ashes of Mervur Moryn,,TR_Mainland
TR_ow09_tomb02_OreynAsh,Ashes of Oreyn Bearclaw,,TR_Mainland
TR_m1_Voun_AshesUNI04,Ashes of Relor Hlaalu,,TR_Mainland
TR_M7_SH1_Tomb_1_Sevus,Ashes of Sevus Hlaalu,,TR_Mainland
TR_m1_Voun_AshesUNI05,Ashes of Sulori Veno,,TR_Mainland
TR_M7_SH1_Tomb_1_Tharel,Ashes of Tharel Hlaalu,,TR_Mainland
TR_M7_SH1_Tomb_1_Varusea,Ashes of Varusea Hlaalu,,TR_Mainland
TR_m1_Voun_AshesUNI03,Ashes of Vasinu Dreloth,,TR_Mainland
TR_m7_AshishibishiSlaveKey,Ashishibishi Slave Key,key,TR_Mainland
AB_w_AshlEbonyArrow10x,Ashlander Ebony Arrow (10),,OAAB_Data
AB_Misc_AshlFlute,Ashlander Flute,,OAAB_Data
AB_Mus_AshlFlute,Ashlander Flute,,OAAB_Data
AB_w_AshlGlassArrow10x,Ashlander Glass Arrow (10),,OAAB_Data
key_assarnudslaves_01,Assarnud Slave Key,key,Morrowind
key_assi,Assi's Key,key,Morrowind
T_Com_Astrolabe_01,Astrolabe,,Tamriel_Data
TR_m7_HO_WharfsEndKey,At Wharf's End Key,key,TR_Mainland
TR_m7_Narsis_KeyPawnbrokerFQ,Atestas Cinti's Key,key,TR_Mainland
TR_m7_TV10_KeyAthilTomb,Athil Tomb Key,key,TR_Mainland
T_De_Painting_UNI_FFF,Athires Hlaalu,,Tamriel_Data
T_De_Painting_UNI_Oran,Atran Oran,,Tamriel_Data
TR_m4_Ando_ManorE_Key_01,Atrius Manor Servant Key,key,TR_Mainland
TR_m4_Ando_ManorE_Key_02,Atrius Manor Vault Key,key,TR_Mainland
T_Com_ShellAuger_01,Auger Shell,shell,Tamriel_Data
T_Com_ShellAuger_02,Auger Shell,shell,Tamriel_Data
T_Com_ShellAuger_03,Auger Shell,shell,Tamriel_Data
T_Com_ShellAuger_04,Auger Shell,shell,Tamriel_Data
key_aurane1,Aurane Frernis' Key,key,Morrowind
T_Ayl_Goblet_01,Ayleid Goblet,cup,Tamriel_Data
T_Ayl_Hook_01,Ayleid Hook,,Tamriel_Data
T_Ayl_Key_01,Ayleid Keystone,,Tamriel_Data
T_Ayl_Knife_01,Ayleid Knife,knife,Tamriel_Data
T_Ayl_Plate_01,Ayleid Plate,plate,Tamriel_Data
T_Ayl_Scrollcase_01,Ayleid Scroll Case,,Tamriel_Data
T_Ayl_Statuette_01,Ayleid Statuette,,Tamriel_Data
Misc_SoulGem_Azura,Azura's Star,,Morrowind
TR_m7_Narsis_KeyBackwater,Backwater Key,key,TR_Mainland
TR_m4_AA_UvaynJewelryBag_01,Bag of Balvene Uvayn's Jewelry,,TR_Mainland
TR_m4-445_misc_seeds,Bag Of Seeds,,TR_Mainland
TR_m4-114_TreasuryKey_03,Bal Foyen Archives Key,key,TR_Mainland
TR_m4_key_AndoCouncilClub,Bal Foyen Council Club Key,key,TR_Mainland
TR_m4-114_TreasuryKey_04,Bal Foyen Council Vault I Key,key,TR_Mainland
TR_m4-114_TreasuryKey_05,Bal Foyen Council Vault II Key,key,TR_Mainland
TR_m4-114_TreasuryKey_06,Bal Foyen Council Vault III Key,key,TR_Mainland
TR_m4-114_TreasuryKey_07,Bal Foyen Council Vault IV Key,key,TR_Mainland
TR_m4_AndoG_key3,Bal Foyen Court Evidence Key,key,TR_Mainland
TR_m4_AndoG_key1,Bal Foyen Court Record Key,key,TR_Mainland
TR_m4_AndoG_key4,Bal Foyen Court Vault Key,key,TR_Mainland
TR_m4_andoport_records,Bal Foyen Port Authority Key,key,TR_Mainland
TR_m4_AndoG_key2,Bal Foyen Prison Key,key,TR_Mainland
TR_m4_And_Temple_Coff_Key,Bal Foyen Temple Coffers Key,key,TR_Mainland
TR_m4_And_Temple_Key,Bal Foyen Temple Key,key,TR_Mainland
TR_m4-114_TreasuryKey_01,Bal Foyen Treasury Key #1,key,TR_Mainland
TR_m4-114_TreasuryKey_02,Bal Foyen Treasury Key #2,key,TR_Mainland
TR_m4_Ando_Key_WharfHideout,Bal Foyen Wharf Hideout Key,key,TR_Mainland
TR_m1_BO_DungeonKey,Bal Oyra Dungeon Key,key,TR_Mainland
TR_m3_key_BalathrenSlaveKey,Balathren Farmstead Slave Key,key,TR_Mainland
TR_m7_Narsis_KeyBalonas,Balonas Nothro's Key,key,TR_Mainland
T_Imp_NibPipeBamb_01,Bamboo Pipe,,Tamriel_Data
key_shushishi,Bandit's Key,key,Morrowind
TR_m4_VM_Cave_5_key,Barbarian's Key,key,TR_Mainland
T_De_Index_Barendreth,Barendreth Propylon Index,,Tamriel_Data
TR_m3_OE_key_barristers,Barristers' Guild Key,key,TR_Mainland
TR_m4_q_EuphoriaKey,Barunal Slave Key,key,TR_Mainland
TR_m7_KeyBaryonPlantationManor,Baryon Plantation Manor Key,key,TR_Mainland
TR_m7_KeyBaryonPlantationSlave,Baryon Plantation Slave Key,key,TR_Mainland
TR_m4-349_Key,Barzamthuand Brass Key,key,TR_Mainland
TR_m4_Basan-Dur_key,Basan-Dur Key,key,TR_Mainland
key_balmorag_tong_01,Basement Key,key,Morrowind
key_gro-bagrat,Basement Key,key,Morrowind
TR_m3_Kha_1_Basement_Key,Basement key,key,TR_Mainland
TR_m7_NarsisTower54_BasementKey,Basement Key,key,TR_Mainland
T_We_Basiliskhide_01,Basilisk Hide,,Tamriel_Data
misc_com_basket_02,Basket,basket,Bloodmoon
misc_de_basket_01,Basket,basket,Bloodmoon
misc_com_basket_01,Basket,basket,Morrowind
misc_com_basket_02,Basket,basket,Morrowind
misc_de_basket_01,Basket,basket,Morrowind
T_Bre_Basket_01,Basket,basket,Tamriel_Data
T_Bre_Basket_02,Basket,basket,Tamriel_Data
T_Bre_Basket_03,Basket,basket,Tamriel_Data
T_He_Basket_01,Basket,basket,Tamriel_Data
T_He_Basket_02,Basket,basket,Tamriel_Data
T_He_Basket_03,Basket,basket,Tamriel_Data
T_He_Basket_04,Basket,basket,Tamriel_Data
T_Kha_Basket_01,Basket,basket,Tamriel_Data
T_Kha_Basket_02,Basket,basket,Tamriel_Data
T_Nor_Basket_01,Basket,basket,Tamriel_Data
T_Nor_Basket_02,Basket,basket,Tamriel_Data
T_Nor_Basket_03,Basket,basket,Tamriel_Data
T_Nor_Basket_04,Basket,basket,Tamriel_Data
T_Rga_Basket_01,Basket,basket,Tamriel_Data
T_Rga_Basket_02,Basket,basket,Tamriel_Data
T_Rga_Basket_03,Basket,basket,Tamriel_Data
T_Rga_Basket_04,Basket,basket,Tamriel_Data
T_Rga_Basket_05,Basket,basket,Tamriel_Data
T_Rga_Basket_06,Basket,basket,Tamriel_Data
misc_beaker_01,Beaker,,Bloodmoon
misc_beaker_01,Beaker,,Morrowind
key_desele,Bedroom Key,key,Morrowind
TR_key_m3-695-Ind,Bedroom Key,key,TR_Mainland
TR_m3_OE_MG_BedroomKey,Bedroom Key,key,TR_Mainland
TR_m7_IndomaranoBedroomKey,Bedroom Key,key,TR_Mainland
T_Com_Tankard_01,Beer Mug,,Tamriel_Data
TR_m3_AT_Key_Dralam,Belas Dralami's House Key,key,TR_Mainland
misc_de_bellows10,Bellows,,Bloodmoon
misc_de_bellows10,Bellows,,Morrowind
misc_Beluelle_silver_bowl,Beluelle's Silver bowl,bowl,Morrowind
TR_m7_Narsis_KeyBelvin,Belvin Uvalas' Key,key,TR_Mainland
TR_m7_HO_BelvisDarethranKey,Belvis Darethran's Key,key,TR_Mainland
index_beran,Berandas Propylon Index,,Morrowind
TR_i2_key_i340_slaves,Berantus Slave Key,key,TR_Mainland
TR_m7_HO_BeronOmoranKey,Beron Omoran's Key,key,TR_Mainland
TR_m7_KeyBessarnamidan,Bessarnamidan Sanctum Key,key,TR_Mainland
TR_m1_ITO_FW_KeyBrazenMaiden,Bidsi Vidryon's Key,key,TR_Mainland
TR_m7_KeyBileruVeren,Bileru Veren's Key,key,TR_Mainland
T_De_Index_Bisandryon,Bisandryon Propylon Index,,Tamriel_Data
artifact_bittercup_01,Bittercup,,Morrowind
key_bivaleteneran_01,Bivale Teneran's Key,key,Morrowind
TR_m3_essrose_i3-128-ind,Black Rose Essential Oil,,TR_Mainland
AB_Misc_SoulGemBlack,Black Soul Gem,,OAAB_Data
AB_Misc_ComPaintCanvas01,Blank Canvas,,OAAB_Data
AB_Misc_ComPaintCanvas01g,Blank Canvas,,OAAB_Data
AB_Misc_ComPaintCanvas02,Blank Canvas,,OAAB_Data
AB_Misc_ComPaintCanvas02g,Blank Canvas,,OAAB_Data
AB_Misc_ComPaintCanvas03,Blank Canvas,,OAAB_Data
TR_m3_q_bloodstone,Bloodstone,,TR_Mainland
TR_m3_q_bloodstone_actv,Bloodstone,,TR_Mainland
TR_m3_OE_MGGemReward,Bloodstone of Daedric Inference,,TR_Mainland
TR_m4_q_bloodybone,Bloody Bone,,TR_Mainland
TR_m4_q_bloodybone_mi,Bloody Bone,,TR_Mainland
TR_m4_q_bloodyskull,Bloody Skull,,TR_Mainland
AB_Misc_Blotter,Blotter,,OAAB_Data
T_De_CandleBlue_01,Blue Candle,,Tamriel_Data
T_He_BlueCeladonBowl_01,Blue Celadon Bowl,bowl,Tamriel_Data
T_He_BlueCeladonCup_01,Blue Celadon Cup,cup,Tamriel_Data
T_He_BlueCeladonPlate_01,Blue Celadon Plate,plate,Tamriel_Data
T_He_BlueCeladonPlatter_01,Blue Celadon Platter,,Tamriel_Data
T_He_BlueCeladonPot_01,Blue Celadon Pot,pot,Tamriel_Data
T_He_BlueCeladonTeapot_01,Blue Celadon Teapot,teapot,Tamriel_Data
T_He_BlueCeladonVase_01,Blue Celadon Vase,,Tamriel_Data
T_He_BlueCeladonVase_02,Blue Celadon Vase,,Tamriel_Data
T_He_BlueCeladonVase_03,Blue Celadon Vase,,Tamriel_Data
misc_de_pot_blue_02,Blue Clay Pot,pot,Morrowind
AB_Misc_DeBlueGlass_01,Blue Glass,,OAAB_Data
T_De_BlueGlassGlass_01,Blue Glass,,Tamriel_Data
T_De_BlueGlassBowel_01,Blue Glass Bowel,,Tamriel_Data
AB_Misc_DeBlueGlassBowl_01,Blue Glass Bowl,bowl,OAAB_Data
T_De_BlueGlassBowl_01,Blue Glass Bowl,bowl,Tamriel_Data
AB_Misc_DeBlueGlassCup_01,Blue Glass Cup,cup,OAAB_Data
T_De_BlueGlassCup_01,Blue Glass Cup,cup,Tamriel_Data
AB_Misc_DeBluePlate_01,Blue Glass Plate,plate,OAAB_Data
misc_de_pot_blue_01,Blue Glass Pot,pot,Morrowind
T_Com_PaintpotB_01,Blue Paint Pot,pot,Tamriel_Data
T_Com_PaintpotB_02,Blue Paint Pot,pot,Tamriel_Data
T_Com_TileBlue_01,Blue Tile,,Tamriel_Data
T_He_BluewareBowl_01,Blueware Bowl,bowl,Tamriel_Data
T_He_BluewareCup_01,Blueware Cup,cup,Tamriel_Data
T_He_BluewarePitcher_01,Blueware Pitcher,cup,Tamriel_Data
T_He_BluewarePlate_01,Blueware Plate,plate,Tamriel_Data
T_He_BluewarePlatter_01,Blueware Platter,,Tamriel_Data
T_He_BluewarePot_01,Blueware Pot,pot,Tamriel_Data
T_He_BluewarePot_02,Blueware Pot,pot,Tamriel_Data
T_He_BluewareVase_01,Blueware Vase,,Tamriel_Data
T_He_BluewareVase_02,Blueware Vase,,Tamriel_Data
AB_Misc_Bobbin_01,Bobbin,,OAAB_Data
AB_Misc_Bobbin_02,Bobbin,,OAAB_Data
AB_Misc_Bobbin_03,Bobbin,,OAAB_Data
AB_Misc_Bobbin_04,Bobbin,,OAAB_Data
AB_Misc_Bobbin_05,Bobbin,,OAAB_Data
key_bolayn,Bolayne's chest key,key,Morrowind
misc_clothbolt_01,Bolt of Cloth,cloth,Morrowind
misc_clothbolt_02,Bolt of Cloth,cloth,Morrowind
misc_clothbolt_03,Bolt of Cloth,cloth,Morrowind
AB_Misc_ComClothCurtain01,Bolt of Cloth,cloth,OAAB_Data
AB_Misc_ComClothCurtain02,Bolt of Cloth,cloth,OAAB_Data
AB_Misc_ComClothCurtain03,Bolt of Cloth,cloth,OAAB_Data
AB_Misc_ComClothCurtain04,Bolt of Cloth,cloth,OAAB_Data
T_Bre_Clothbolt_01,Bolt of Cloth,cloth,Tamriel_Data
T_Bre_Clothbolt_02,Bolt of Cloth,cloth,Tamriel_Data
T_Bre_Clothbolt_03,Bolt of Cloth,cloth,Tamriel_Data
T_He_Clothbolt_01,Bolt of Cloth,cloth,Tamriel_Data
T_He_Clothbolt_02,Bolt of Cloth,cloth,Tamriel_Data
T_He_Clothbolt_03,Bolt of Cloth,cloth,Tamriel_Data
T_Imp_Clothbolt_01,Bolt of Cloth,cloth,Tamriel_Data
T_Imp_Clothbolt_02,Bolt of Cloth,cloth,Tamriel_Data
T_Imp_Clothbolt_03,Bolt of Cloth,cloth,Tamriel_Data
T_Nor_Clothbolt_01,Bolt of Cloth,cloth,Tamriel_Data
T_Nor_Clothbolt_02,Bolt of Cloth,cloth,Tamriel_Data
T_Nor_Clothbolt_03,Bolt of Cloth,cloth,Tamriel_Data
T_Imp_Silkbolt_01,Bolt of Moth-Silk,,Tamriel_Data
T_Imp_Silkbolt_02,Bolt of Moth-Silk,,Tamriel_Data
T_Imp_Silkbolt_03,Bolt of Moth-Silk,,Tamriel_Data
T_Imp_Silkbolt_04,Bolt of Moth-Silk,,Tamriel_Data
T_Imp_Silkbolt_05,Bolt of Moth-Silk,,Tamriel_Data
AB_Misc_Bone,Bone,,OAAB_Data
T_Com_Bone,Bone,,Tamriel_Data
TR_m2_Gilan_Bones,Bone,,TR_Mainland
AB_w_BoneArrow10x,Bone Arrow (10),,OAAB_Data
devote_bone_Pop00,Bone from Pop Je,,Morrowind
T_Com_Key_01,Bone Key,key,Tamriel_Data
TR_m3-725_bone_key,Bone Key,key,TR_Mainland
TR_m7_LA6_Tomb_1_Key_Bone,Bone Key,key,TR_Mainland
TR_m7_DA_Nam_BoneTraitor,Bone of a Traitor,,TR_Mainland
AB_w_BonemoldArrow10x,Bonemold Arrow (10),,OAAB_Data
T_We_BonewareBottle_01,Boneware Bottle,bottle,Tamriel_Data
T_We_BonewareBowl_01,Boneware Bowl,bowl,Tamriel_Data
T_We_BonewareCup_01,Boneware Cup,cup,Tamriel_Data
T_We_BonewareFlask_01,Boneware Flask,bottle,Tamriel_Data
T_We_BonewareFork_01,Boneware Fork,fork,Tamriel_Data
